species,specimen,sex,body_length,pelvic_left,pelvic_right,rib_left,rib_right
LAGENORHYNCHUS_ACUTUS,USNM_504154,F,234.5,860,853.9,1580.8,1562.2
LAGENORHYNCHUS_ACUTUS,USNM_550995,M,253,959.1,995.1,1618.7,1610.3
LAGENORHYNCHUS_ACUTUS,USNM_571327,M,253,843.3,907.9,1578.4,1588.3
LAGENORHYNCHUS_ACUTUS,USNM_571390,M,242,968,978.3,1550.5,1566.8
LAGENORHYNCHUS_OBLIQUIDENS,LACM_84284,M,220,902.3,967.9,1572,1517.1
LAGENORHYNCHUS_OBLIQUIDENS,LACM_88951,M,192,885.5,856.2,1528.5,1465.4
LAGENORHYNCHUS_OBLIQUIDENS,LACM_88987,M,207,771.8,778,1475.7,1454
LAGENORHYNCHUS_OBLIQUIDENS,LACM_92062,M,194,733.2,757.2,1386.8,1417.4
LAGENORHYNCHUS_OBLIQUIDENS,LACM_95514,F,223,765.2,717.1,1588.5,1686
LISSODELPHIS_BOREALIS,LACM_72455,M,264.4,999.8,1010.6,1343.2,1358.5
LISSODELPHIS_BOREALIS,LACM_95689,M,217.8,974.3,987.5,1161.6,1245.6
LISSODELPHIS_BOREALIS,USNM_484929,M,265.3,1128.5,1139.6,1489.9,1536.7
MESOPLODON_CARLHUBBSI,USNM_504128,F,532,1007.1,1043.3,3119.4,3124.1
PEPONOCEPHALA_ELECTRA,LACM_54090,F,231,1008.1,974.6,1611.4,1635.9
PHOCOENA_PHOCOENA,LACM_72591,M,148,1063.1,1058.3,NA,NA
PHOCOENA_PHOCOENA,LACM_84072,M,154,1018.1,995.4,1491.8,1475.3
PHOCOENA_PHOCOENA,LACM_84073,F,173,829.5,872.4,1403.8,1414
PHOCOENA_PHOCOENA,LACM_84076,F,178,945.3,997.7,1409.8,1415.6
PHOCOENA_PHOCOENA,LACM_84086,F,164.5,880.5,877,1319,1317.5
PHOCOENA_PHOCOENA,USNM_504302,F,165,834.4,917.4,1275.9,1279.1
PHOCOENA_PHOCOENA,USNM_550312,F,158,897.4,879.9,1334.4,1362.6
PHOCOENA_PHOCOENA,USNM_571709,M,160.2,1155.7,1159.7,1409.4,1352.6
PHOCOENA_PHOCOENA,USNM_571723,M,146.1,1094.4,1086.9,1125.8,1152.4
PHOCOENA_PHOCOENA,USNM_572629,F,163,718.3,775.9,1361.7,1374.8
PHOCOENA_PHOCOENA,USNM_572785,M,151.5,1108.1,1110.9,1299.1,1328.9
PHOCOENOIDES_DALLI,LACM_54420,M,203,793.8,846.7,1679.6,1600.2
PHOCOENOIDES_DALLI,LACM_54569,F,200,690.3,695.7,1748.3,1747.2
PHOCOENOIDES_DALLI,LACM_84048,M,213,590,575.1,1568.3,1510.1
PHOCOENOIDES_DALLI,LACM_84251,M,225,686.9,733.8,1749.3,1753.2
PHOCOENOIDES_DALLI,LACM_96383,M,213.5,770.1,777.2,1556,1514.2
PHOCOENOIDES_DALLI,LACM_96487,M,210,557.9,NA,NA,NA
PHOCOENOIDES_DALLI,LACM_97207,M,210,691.5,677.9,NA,NA
PHOCOENOIDES_DALLI,USNM_396304,M,202,795.3,794.9,1567.3,1566.4
PONTOPORIA_BLAINVILLEI,LACM_47143,M,128.5,302,297.5,774.5,803.6
PONTOPORIA_BLAINVILLEI,LACM_54012,F,138,396.6,364.7,848.7,861
PONTOPORIA_BLAINVILLEI,USNM_501157,F,136,343.5,325.3,833.2,842.3
PONTOPORIA_BLAINVILLEI,USNM_501172,M,137,NA,NA,720.1,764.6
PONTOPORIA_BLAINVILLEI,USNM_501176,F,142,340,343.2,798.8,846.6
PONTOPORIA_BLAINVILLEI,USNM_501179,M,142,407.2,428.4,797.5,834.9
PONTOPORIA_BLAINVILLEI,USNM_501183,F,145,285.2,295.8,828.4,883
PONTOPORIA_BLAINVILLEI,USNM_501186,F,143,355.9,288.3,793.3,794
PONTOPORIA_BLAINVILLEI,USNM_504920,F,155,490.4,443.4,880.8,911
PSEUDORCA_CRASSIDENS,LACM_84047,M,480,1379.1,1362.4,2352,2415.8
STENELLA_ATTENUATA,LACM_54043,M,195,651.2,628.4,1144.1,1155.2
STENELLA_ATTENUATA,LACM_95489,F,191.9,572.8,545.6,1157.5,1170.1
STENELLA_ATTENUATA,USNM_395277,F,175,646.1,643.2,NA,NA
STENELLA_ATTENUATA,USNM_395390,M,218,722.1,707.3,1112.3,1128.2
STENELLA_ATTENUATA,USNM_395465,M,200,759,712.4,1116.3,NA
STENELLA_COERULEOALBA,USNM_504350,M,231,737.4,740.6,1473.1,1459.4
STENELLA_COERULEOALBA,USNM_504773,M,221.7,669.9,662.8,1564.6,1532.2
STENELLA_FRONTALIS,USNM_504758,M,201,742.5,736.4,1434.6,1462.4
STENELLA_LONGIROSTRIS,LACM_72437,M,175.4,541.2,579.8,1009.1,975.9
STENELLA_LONGIROSTRIS,LACM_72438,M,177.5,651.7,664,1179.8,1198.3
STENELLA_LONGIROSTRIS,USNM_395599,M,173,692.4,702.7,1161.8,1157.9
STENO_BREDANENSIS,USNM_504467,M,235,737,761,NA,1672.7
STENO_BREDANENSIS,USNM_504468,M,227,745.8,741.6,NA,1628.7
STENO_BREDANENSIS,USNM_504494,M,233,748.6,818.3,NA,1393.5
STENO_BREDANENSIS,USNM_550837,M,228.1,787.4,780.2,1538.6,1488.7
TURSIOPS_ADUNCUS,USNM_258642,M,287,905.2,914.7,1900.4,1927.8
TURSIOPS_TRUNCATUS,LACM_84194,M,304,1108.3,1156.8,1827.2,1876.1
TURSIOPS_TRUNCATUS,LACM_84267,M,305,865.6,868.1,1941.6,1838.3
TURSIOPS_TRUNCATUS,LACM_84271,F,285,663.1,616.9,1720.5,1704.1
TURSIOPS_TRUNCATUS,LACM_92072,M,288,746.3,717.5,1768.1,1785.2
TURSIOPS_TRUNCATUS,LACM_95828,M,293,959,939.2,NA,NA
TURSIOPS_TRUNCATUS,LACM_97405,F,277,842.1,955.1,1705.4,1709
TURSIOPS_TRUNCATUS,LACM_97489,F,298,1083.8,1045.8,1817.7,1914.5
TURSIOPS_TRUNCATUS,USNM_396165,M,303,796.7,876,1911.5,NA
TURSIOPS_TRUNCATUS,USNM_504726,M,298,1068.1,1094,2014.3,1940.9
TURSIOPS_TRUNCATUS,USNM_504879,M,284,1000.5,1000.5,NA,1874.6
TURSIOPS_TRUNCATUS,USNM_550401,M,267.5,1073.7,1046.9,1701.2,1697.5
TURSIOPS_TRUNCATUS,USNM_550422,M,279,1155.2,1150.8,1812.2,1782.7
TURSIOPS_TRUNCATUS,USNM_550919,F,283,953.6,966.2,1833,1810.8
TURSIOPS_TRUNCATUS,USNM_571051,M,277,999,1024.7,1766,1763.1
TURSIOPS_TRUNCATUS,USNM_571086,M,273,1078.9,1030.9,1644.9,1723.9
TURSIOPS_TRUNCATUS,USNM_571388,F,285,790.6,830.5,1491.6,1509.5
TURSIOPS_TRUNCATUS,USNM_571521,M,271,659.5,669.7,1399,1396.5
TURSIOPS_TRUNCATUS,USNM_572949,M,265,1166,1105.4,1697.1,1644.7
TURSIOPS_TRUNCATUS,USNM_593406,M,279,1167.8,1172.6,1736.8,1770.7
ZIPHIUS_CAVIROSTRIS,USNM_A20971,F,589,854,828.4,3676.2,3580.3
ZIPHIUS_CAVIROSTRIS,USNM_A49599,M,564,978.7,1067.3,4095.2,3972.7
